TemplateStr,TemplateTokens,ParameterClasses,ExampleLog,Dataset
"saveHealthDetailData() saveOneDetailData <*> hiHealthData = <*>,type = <*>","['saveHealthDetailData', '(', ')', 'saveOneDetailData', '<*>', 'hiHealthData', '=', '<*>', ',', 'type', '=', '<*>']",{4: 'StatusMessage'},"saveHealthDetailData() saveOneDetailData fail hiHealthData = 1513958400000,type = 40003",healthapp
"bulkSaveDetailHiHealthData() size = <*>,totalTime = <*>","['bulkSaveDetailHiHealthData', '(', ')', 'size', '=', '<*>', ',', 'totalTime', '=', '<*>']",{9: 'Time::Duration'},"bulkSaveDetailHiHealthData() size = 4,totalTime = 30",healthapp
startListenerChange subscribeList = [<*>],"['startListenerChange', 'subscribeList', '=', '[', '<*>', ']']",{},startListenerChange subscribeList = [1],healthapp
"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = <*>,errorMessage = <*>","['insertHiHealthData', '(', ')', 'bulkSaveDetailHiHealthData', 'fail', 'errorCode', '=', '<*>', ',', 'errorMessage', '=', '<*>']","{7: 'Other::ClosedSet', 11: 'Other::ClosedSet'}","insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = 4,errorMessage = ERR_DATA_INSERT",healthapp
insertHiHealthData() end totalTime = <*>,"['insertHiHealthData', '(', ')', 'end', 'totalTime', '=', '<*>']",{6: 'Time::Duration'},insertHiHealthData() end totalTime = 45,healthapp
uploadStaticsToDB() onResult  type = <*> obj=<*>,"['uploadStaticsToDB', '(', ')', 'onResult', 'type', '=', '<*>', 'obj', '=', '<*>']",{6: 'Other::ClosedSet'},uploadStaticsToDB() onResult  type = 4 obj=true,healthapp
uploadStaticsToDB <*> message=<*>,"['uploadStaticsToDB', '<*>', 'message', '=', '<*>']","{1: 'StatusMessage', 4: 'Other::ClosedSet'}",uploadStaticsToDB failed message=true,healthapp
registersensorsuccess: <*>,"['registersensorsuccess', ':', '<*>']",{2: 'Other::ClosedSet'},registersensorsuccess: true,healthapp
clear(),"['clear', '(', ')']",{},clear(),healthapp
getTodayBasicStandardSteps= <*>,"['getTodayBasicStandardSteps', '=', '<*>']",{},getTodayBasicStandardSteps= 1514018661124##0##3428,healthapp
tryToRecordAsBasicStepData bWrite true,"['tryToRecordAsBasicStepData', 'bWrite', 'true']",{},tryToRecordAsBasicStepData bWrite true,healthapp
getDiffTotalSteps= <*>,"['getDiffTotalSteps', '=', '<*>']",{},getDiffTotalSteps= 1513958400215##0,healthapp
setBasicStandardSteps basicStandardStep=<*> restartSteps=<*>,"['setBasicStandardSteps', 'basicStandardStep', '=', '<*>', 'restartSteps', '=', '<*>']",{},setBasicStandardSteps basicStandardStep=3786 restartSteps=0,healthapp
setDiffTotalSteps=<*>,"['setDiffTotalSteps', '=', '<*>']",{},setDiffTotalSteps=0,healthapp
tryToReloadTodayBasicSteps<*>|<*>|<*>|<*>,['tryToReloadTodayBasicSteps<*>|<*>|<*>|<*>'],{},tryToReloadTodayBasicSteps1514044800223|3786|0|0,healthapp
reload : <*> restar <*>,"['reload', ':', '<*>', 'restar', '<*>']",{},reload : 3786 restar 0,healthapp
next day:steps0mLastReport7214,"['next', 'day', ':', 'steps0mLastReport7214']",{},next day:steps0mLastReport7214,healthapp
setGoalNotifiShownRecord <*> <*>,"['setGoalNotifiShownRecord', '<*>', '<*>']",{2: 'Other::ClosedSet'},setGoalNotifiShownRecord 1514044800237 false,healthapp
closeNotification...,['closeNotification...'],{},closeNotification...,healthapp
deleteHealthNotification(),"['deleteHealthNotification', '(', ')']",{},deleteHealthNotification(),healthapp
startTimer start autoSync,"['startTimer', 'start', 'autoSync']",{},startTimer start autoSync,healthapp
"startSync hiSyncOption = HiSyncOption{syncAction=<*>, syncMethod=<*>, syncScope=<*>, syncDataType=<*>, syncModel=<*>, pushAction=<*>},app = <*> who = <*>","['startSync', 'hiSyncOption', '=', 'HiSyncOption', '{', 'syncAction', '=', '<*>', ',', 'syncMethod', '=', '<*>', ',', 'syncScope', '=', '<*>', ',', 'syncDataType', '=', '<*>', ',', 'syncModel', '=', '<*>', ',', 'pushAction', '=', '<*>', '}', ',', 'app', '=', '<*>', 'who', '=', '<*>']",{},"startSync hiSyncOption = HiSyncOption{syncAction=1, syncMethod=2, syncScope=0, syncDataType=20000, syncModel=2, pushAction=0},app = 1 who = 1",healthapp
"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is <*> oldDay is <*>","['checkCurrentDay', 'a', 'new', 'day', 'comes', ',', 'reset', 'basicSyncCondition', ',', 'currentDay', 'is', '<*>', 'oldDay', 'is', '<*>']","{11: 'Time::Timestamp', 14: 'Time::Timestamp'}","checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is 20171224 oldDay is 20171223",healthapp
stepSyncOrNot appSynTimes is 0,"['stepSyncOrNot', 'appSynTimes', 'is', '0']",{},stepSyncOrNot appSynTimes is 0,healthapp
needAutoSync autoSyncSwitch is <*>,"['needAutoSync', 'autoSyncSwitch', 'is', '<*>']",{3: 'Other::ClosedSet'},needAutoSync autoSyncSwitch is open,healthapp
"initDataPrivacy the dataPrivacy switch is open, start push health data!","['initDataPrivacy', 'the', 'dataPrivacy', 'switch', 'is', 'open', ',', 'start', 'push', 'health', 'data!']",{},"initDataPrivacy the dataPrivacy switch is open, start push health data!",healthapp
initDataPrivacy the dataPrivacy is true,"['initDataPrivacy', 'the', 'dataPrivacy', 'is', 'true']",{},initDataPrivacy the dataPrivacy is true,healthapp
"initUserPrivacy the userPrivacy switch is open, start push user data!","['initUserPrivacy', 'the', 'userPrivacy', 'switch', 'is', 'open', ',', 'start', 'push', 'user', 'data!']",{},"initUserPrivacy the userPrivacy switch is open, start push user data!",healthapp
initUserPrivacy the userPrivacy is true,"['initUserPrivacy', 'the', 'userPrivacy', 'is', 'true']",{},initUserPrivacy the userPrivacy is true,healthapp
ifCanSync not! no cloud version,"['ifCanSync', 'not!', 'no', 'cloud', 'version']",{},ifCanSync not! no cloud version,healthapp
sendSyncFailedBroadcast,['sendSyncFailedBroadcast'],{},sendSyncFailedBroadcast,healthapp
"stepSyncOrNot appSynTimes is <*>, statsyncTimes is <*>","['stepSyncOrNot', 'appSynTimes', 'is', '<*>', ',', 'statsyncTimes', 'is', '<*>']",{},"stepSyncOrNot appSynTimes is 0, statsyncTimes is 0",healthapp
"startInsertSportSync start auto sync,app is <*>","['startInsertSportSync', 'start', 'auto', 'sync', ',', 'app', 'is', '<*>']",{},"startInsertSportSync start auto sync,app is 1",healthapp
"checkFirstSyncByType no such data in db ,type is <*> deviceCode is <*>","['checkFirstSyncByType', 'no', 'such', 'data', 'in', 'db', ',', 'type', 'is', '<*>', 'deviceCode', 'is', '<*>']",{},"checkFirstSyncByType no such data in db ,type is 1 deviceCode is 0",healthapp
"startInsertSportSync first <*> steps sync,do all sync","['startInsertSportSync', 'first', '<*>', 'steps', 'sync', ',', 'do', 'all', 'sync']",{2: 'Object::ValueExpression'},"startInsertSportSync first 500 steps sync,do all sync",healthapp
"insertHiHealthData() size = <*>,app = <*>,One Data Type = <*>,packageName = <*>,writeStatType = <*>","['insertHiHealthData', '(', ')', 'size', '=', '<*>', ',', 'app', '=', '<*>', ',', 'One', 'Data', 'Type', '=', '<*>', ',', 'packageName', '=', '<*>', ',', 'writeStatType', '=', '<*>']","{19: 'Object', 23: 'Other::ClosedSet'}","insertHiHealthData() size = 20,app = 1,One Data Type = 2,packageName = com.huawei.health,writeStatType = 0",healthapp
"saveRealTimeHealthDatasStat() size = <*>,totalTime = <*>","['saveRealTimeHealthDatasStat', '(', ')', 'size', '=', '<*>', ',', 'totalTime', '=', '<*>']",{9: 'Time::Duration'},"saveRealTimeHealthDatasStat() size = 1,totalTime = 48",healthapp
InsertCallBack() onSuccess  type = <*> data=<*>,"['InsertCallBack', '(', ')', 'onSuccess', 'type', '=', '<*>', 'data', '=', '<*>']","{6: 'Other::ClosedSet', 9: 'Other::ClosedSet'}",InsertCallBack() onSuccess  type = 0 data=true,healthapp
InsertEvent success begin:<*> end:<*>,"['InsertEvent', 'success', 'begin', ':', '<*>', 'end', ':', '<*>']","{4: 'Time::Timestamp', 7: 'Time::Timestamp'}",InsertEvent success begin:25233975 end:25233979,healthapp
setWriteDBLastDataMinute=<*>,"['setWriteDBLastDataMinute', '=', '<*>']",{},setWriteDBLastDataMinute=25233979,healthapp
setWriteDBLastDataMinute success,"['setWriteDBLastDataMinute', 'success']",{},setWriteDBLastDataMinute success,healthapp
flush2DB result success,"['flush2DB', 'result', 'success']",{},flush2DB result success,healthapp
checkInsertStatus stepSum or calorieSum is enough,"['checkInsertStatus', 'stepSum', 'or', 'calorieSum', 'is', 'enough']",{},checkInsertStatus stepSum or calorieSum is enough,healthapp
checkInsertStatus stepStatSum or calorieStatSum is enough,"['checkInsertStatus', 'stepStatSum', 'or', 'calorieStatSum', 'is', 'enough']",{},checkInsertStatus stepStatSum or calorieStatSum is enough,healthapp
"timeStamp back,extendReportTimeStamp=<*>","['timeStamp', 'back', ',', 'extendReportTimeStamp', '=', '<*>']",{5: 'Time::Timestamp'},"timeStamp back,extendReportTimeStamp=1514039575000",healthapp
getTodaySportData mStepsRecordManager=<*>,"['getTodaySportData', 'mStepsRecordManager', '=', '<*>']",{3: 'Object'},getTodaySportData mStepsRecordManager=com.huawei.health.g.c@8a2a501,healthapp
theDayChanged <*>,"['theDayChanged', '<*>']",{1: 'Time::Timestamp'},theDayChanged 1514044800216,healthapp
initEnviroument,['initEnviroument'],{},initEnviroument,healthapp
getStepCounterStatus,['getStepCounterStatus'],{},getStepCounterStatus,healthapp
getStepCounterStatus= <*>,"['getStepCounterStatus', '=', '<*>']",{2: 'Other::ClosedSet'},getStepCounterStatus= true,healthapp
reStartStepCounter,['reStartStepCounter'],{},reStartStepCounter,healthapp
"screen status unknown,think screen on","['screen', 'status', 'unknown', ',', 'think', 'screen', 'on']",{},"screen status unknown,think screen on",healthapp
[instance: <*>] Took <*> seconds to <*> the instance on the hypervisor.,"['[', 'instance', ':', '<*>', ']', 'Took', '<*>', 'seconds', 'to', '<*>', 'the', 'instance', 'on', 'the', 'hypervisor.']","{3: 'Object::Process', 6: 'Time::Duration', 9: 'Action'}",[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 19.05 seconds to spawn the instance on the hypervisor.,openstack
[instance: <*>] Took <*> seconds to <*> instance.,"['[', 'instance', ':', '<*>', ']', 'Took', '<*>', 'seconds', 'to', '<*>', 'instance.']","{6: 'Time::Duration', 9: 'Action', 3: 'Object::Process'}",[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 19.84 seconds to build instance.,openstack
<*> base files: <*>,"['<*>', 'base', 'files', ':', '<*>']","{0: 'Other::ClosedSet', 4: 'Location::Path'}",Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,openstack
"<*> ""<*> <*> <*>"" status: <*> len: <*> time: <*>","['<*>', '""', '<*>', '<*>', '<*>', '""', 'status', ':', '<*>', 'len', ':', '<*>', 'time', ':', '<*>']","{0: 'Location::IP-Port::IP', 2: 'Other::ClosedSet', 3: 'Location::Path', 4: 'Other::ClosedSet', 8: 'Other::ClosedSet', 14: 'Time::Duration'}","10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2808621",openstack
Auditing locally available compute resources for node <*>,"['Auditing', 'locally', 'available', 'compute', 'resources', 'for', 'node', '<*>']",{7: 'Object::ComputingResource'},Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,openstack
"Total usable vcpus: <*>, total allocated vcpus: <*>","['Total', 'usable', 'vcpus', ':', '<*>', ',', 'total', 'allocated', 'vcpus', ':', '<*>']",{},"Total usable vcpus: 16, total allocated vcpus: 1",openstack
Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=[],"['Final', 'resource', 'view', ':', 'name', '=', '<*>', 'phys_ram', '=', '<*>', 'used_ram', '=', '<*>', 'phys_disk', '=', '<*>', 'used_disk', '=', '<*>', 'total_vcpus', '=', '<*>', 'used_vcpus', '=', '<*>', 'pci_stats', '=', '[', ']']",{6: 'Location::URL'},Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB used_ram=2560MB phys_disk=15GB used_disk=20GB total_vcpus=16 used_vcpus=1 pci_stats=[],openstack
Compute_service record updated for <*>:<*>,"['Compute_service', 'record', 'updated', 'for', '<*>', ':', '<*>']","{4: 'Location::URL', 6: 'Location::URL'}",Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,openstack
image <*> at (<*>): <*>,"['image', '<*>', 'at', '(', '<*>', ')', ':', '<*>']","{1: 'Object', 4: 'Location::Path', 7: 'StatusMessage'}",image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,openstack
[instance: <*>] Terminating instance,"['[', 'instance', ':', '<*>', ']', 'Terminating', 'instance']",{3: 'Object::Process'},[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Terminating instance,openstack
[instance: <*>] Instance <*> successfully.,"['[', 'instance', ':', '<*>', ']', 'Instance', '<*>', 'successfully.']","{3: 'Object::Process', 6: 'StatusMessage'}",[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Instance destroyed successfully.,openstack
[instance: <*>] Deleting instance files <*>,"['[', 'instance', ':', '<*>', ']', 'Deleting', 'instance', 'files', '<*>']","{3: 'Object::Process', 8: 'Location::Path'}",[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Deleting instance files /var/lib/nova/instances/b9000564-fe1a-409b-b8cc-1e88b294cd1d_del,openstack
[instance: <*>] Deletion of <*> complete,"['[', 'instance', ':', '<*>', ']', 'Deletion', 'of', '<*>', 'complete']","{3: 'Object::Process', 7: 'Location::Path'}",[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Deletion of /var/lib/nova/instances/b9000564-fe1a-409b-b8cc-1e88b294cd1d_del complete,openstack
Unknown base file: <*>,"['Unknown', 'base', 'file', ':', '<*>']",{4: 'Location::Path'},Unknown base file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,openstack
[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,"['[', 'instance', ':', '<*>', ']', 'During', 'sync_power_state', 'the', 'instance', 'has', 'a', 'pending', 'task', '(', 'spawning', ')', '.', 'Skip.']",{3: 'Object::Process'},[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] During sync_power_state the instance has a pending task (spawning). Skip.,openstack
[instance: <*>] VM <*> (Lifecycle Event),"['[', 'instance', ':', '<*>', ']', 'VM', '<*>', '(', 'Lifecycle', 'Event', ')']","{6: 'Action', 3: 'Object::Process'}",[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Started (Lifecycle Event),openstack
Creating event network-vif-plugged:<*> for instance <*>,"['Creating', 'event', 'network-vif-plugged', ':', '<*>', 'for', 'instance', '<*>']","{4: 'Object', 7: 'Object::Process'}",Creating event network-vif-plugged:e3871ffd-5cd5-4287-bddd-3529f7b59515 for instance b9000564-fe1a-409b-b8cc-1e88b294cd1d,openstack
Removing base or swap file: <*>,"['Removing', 'base', 'or', 'swap', 'file', ':', '<*>']",{6: 'Location::Path'},Removing base or swap file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,openstack
HTTP exception thrown: No instances found for any event,"['HTTP', 'exception', 'thrown', ':', 'No', 'instances', 'found', 'for', 'any', 'event']",{},HTTP exception thrown: No instances found for any event,openstack
"[instance: <*>] Attempting claim: memory <*> <*>, disk <*> <*>, vcpus <*> <*>","['[', 'instance', ':', '<*>', ']', 'Attempting', 'claim', ':', 'memory', '<*>', '<*>', ',', 'disk', '<*>', '<*>', ',', 'vcpus', '<*>', '<*>']",{3: 'Object::Process'},"[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",openstack
"[instance: <*>] Total <*>: <*> <*>, used: <*> <*>","['[', 'instance', ':', '<*>', ']', 'Total', '<*>', ':', '<*>', '<*>', ',', 'used', ':', '<*>', '<*>']","{3: 'Object::Process', 6: 'Object::ComputingResource'}","[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Total memory: 64172 MB, used: 512.00 MB",openstack
"[instance: <*>] memory limit: <*> <*>, free: <*> <*>","['[', 'instance', ':', '<*>', ']', 'memory', 'limit', ':', '<*>', '<*>', ',', 'free', ':', '<*>', '<*>']",{3: 'Object::Process'},"[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] memory limit: 96258.00 MB, free: 95746.00 MB",openstack
"[instance: <*>] Total disk: <*> <*>, used: <*> <*>","['[', 'instance', ':', '<*>', ']', 'Total', 'disk', ':', '<*>', '<*>', ',', 'used', ':', '<*>', '<*>']",{3: 'Object::Process'},"[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Total disk: 15 GB, used: 0.00 GB",openstack
"[instance: <*>] <*> limit not specified, defaulting to unlimited","['[', 'instance', ':', '<*>', ']', '<*>', 'limit', 'not', 'specified', ',', 'defaulting', 'to', 'unlimited']","{3: 'Object::Process', 5: 'Object::ComputingResource'}","[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] disk limit not specified, defaulting to unlimited",openstack
"[instance: <*>] Total vcpu: <*> <*>, used: <*> <*>","['[', 'instance', ':', '<*>', ']', 'Total', 'vcpu', ':', '<*>', '<*>', ',', 'used', ':', '<*>', '<*>']",{3: 'Object::Process'},"[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Total vcpu: 16 VCPU, used: 0.00 VCPU",openstack
"[instance: <*>] <*> limit not specified, defaulting to unlimited","['[', 'instance', ':', '<*>', ']', '<*>', 'limit', 'not', 'specified', ',', 'defaulting', 'to', 'unlimited']","{3: 'Object::Process', 5: 'Object::ComputingResource'}","[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] vcpu limit not specified, defaulting to unlimited",openstack
[instance: <*>] Claim successful,"['[', 'instance', ':', '<*>', ']', 'Claim', 'successful']",{3: 'Object::Process'},[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Claim successful,openstack
[instance: <*>] Creating image,"['[', 'instance', ':', '<*>', ']', 'Creating', 'image']",{3: 'Object::Process'},[instance: 96abccce-8d1f-4e07-b6d1-4b2ab87e23b4] Creating image,openstack
Running instance usage audit for host <*> from <*> <*>:<*>:<*> to <*> <*>:<*>:<*>. <*> instances.,"['Running', 'instance', 'usage', 'audit', 'for', 'host', '<*>', 'from', '<*>', '<*>', ':', '<*>', ':', '<*>', 'to', '<*>', '<*>', ':', '<*>', ':', '<*>', '.', '<*>', 'instances.']","{6: 'Location::URL', 8: 'Time::Timestamp', 9: 'Time::Timestamp', 11: 'Time::Timestamp', 13: 'Time::Timestamp', 20: 'Time::Timestamp', 18: 'Time::Timestamp', 16: 'Time::Timestamp', 15: 'Time::Timestamp', 22: 'Object::ValueExpression'}",Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from 2017-05-16 05:00:00 to 2017-05-16 06:00:00. 87 instances.,openstack
Base or swap file too young to remove: <*>,"['Base', 'or', 'swap', 'file', 'too', 'young', 'to', 'remove', ':', '<*>']",{9: 'Location::Path'},Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,openstack
Successfully synced instances from host '<*>'.,"['Successfully', 'synced', 'instances', 'from', 'host', ""'"", '<*>', ""'"", '.']",{6: 'Location::URL'},Successfully synced instances from host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'.,openstack
The instance sync for host '<*>' did not match. Re-created its InstanceList.,"['The', 'instance', 'sync', 'for', 'host', ""'"", '<*>', ""'"", 'did', 'not', 'match', '.', 'Re-created', 'its', 'InstanceList.']",{6: 'Location::URL'},The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,openstack
"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.","['While', 'synchronizing', 'instance', 'power', 'states', ',', 'found', '<*>', 'instances', 'in', 'the', 'database', 'and', '<*>', 'instances', 'on', 'the', 'hypervisor.']","{7: 'Object::ValueExpression', 13: 'Object::ValueExpression'}","While synchronizing instance power states, found 1 instances in the database and 0 instances on the hypervisor.",openstack
reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,"['reverse', 'mapping', 'checking', 'getaddrinfo', 'for', '<*>', '[', '<*>', ']', 'failed', '-', 'POSSIBLE', 'BREAK-IN', 'ATTEMPT!']","{5: 'Location::URL', 7: 'Location::IP-Port::IP'}",reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,openssh
Invalid user <*> from <*>,"['Invalid', 'user', '<*>', 'from', '<*>']","{2: 'Object::User', 4: 'Location::IP-Port::IP'}",Invalid user webmaster from 173.234.31.186,openssh
input_userauth_request: invalid user <*> [preauth],"['input_userauth_request', ':', 'invalid', 'user', '<*>', '[', 'preauth', ']']",{4: 'Object::User'},input_userauth_request: invalid user webmaster [preauth],openssh
pam_unix(sshd:auth): check pass; user unknown,"['pam_unix', '(', 'sshd', ':', 'auth', ')', ':', 'check', 'pass', ';', 'user', 'unknown']",{},pam_unix(sshd:auth): check pass; user unknown,openssh
pam_unix(<*>:auth): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,"['pam_unix', '(', '<*>', ':', 'auth', ')', ':', 'authentication', 'failure', ';', 'logname', '=', 'uid', '=', '<*>', 'euid', '=', '<*>', 'tty', '=', '<*>', 'ruser', '=', 'rhost', '=', '<*>']","{14: 'Object::User', 17: 'Object::User', 20: 'Object', 25: 'Location::IP-Port::IP', 2: 'Object::Process'}",pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=173.234.31.186,openssh
Failed password for invalid user <*> from <*> port <*> ssh2,"['Failed', 'password', 'for', 'invalid', 'user', '<*>', 'from', '<*>', 'port', '<*>', 'ssh2']","{5: 'Object::User', 7: 'Location::URL', 9: 'Location::IP-Port::IP'}",Failed password for invalid user webmaster from 173.234.31.186 port 38926 ssh2,openssh
Connection closed by <*> [preauth],"['Connection', 'closed', 'by', '<*>', '[', 'preauth', ']']",{3: 'Location::IP-Port::IP'},Connection closed by 173.234.31.186 [preauth],openssh
Received disconnect from <*>: <*>: Bye Bye [preauth],"['Received', 'disconnect', 'from', '<*>', ':', '<*>', ':', 'Bye', 'Bye', '[', 'preauth', ']']","{3: 'Location::IP-Port::IP', 5: 'Object::ValueExpression'}",Received disconnect from 52.80.34.196: 11: Bye Bye [preauth],openssh
message repeated <*> times: [ Failed password for <*> from <*> port <*> ssh2],"['message', 'repeated', '<*>', 'times', ':', '[', 'Failed', 'password', 'for', '<*>', 'from', '<*>', 'port', '<*>', 'ssh2', ']']","{2: 'Object::ValueExpression', 9: 'Object::User', 11: 'Location::IP-Port::IP', 13: 'Location::IP-Port::Port'}",message repeated 5 times: [ Failed password for root from 5.36.59.76 port 42393 ssh2],openssh
Disconnecting: Too many authentication failures for <*> [preauth],"['Disconnecting', ':', 'Too', 'many', 'authentication', 'failures', 'for', '<*>', '[', 'preauth', ']']",{7: 'Object::User'},Disconnecting: Too many authentication failures for root [preauth],openssh
